timestamp,datetime,period,city,matched_asns,as_path,as_path_length,sorm_ases,classification,prefixes,next_hop,origin,peer_as,peer_ip
1645704060,2022-02-24T12:01:00,invasion_start_2022,Kharkiv,AS13188,23106 → 3356 → 174 → 13188,4,,neutral,37.57.60.0/24 | 109.86.241.0/24 | 109.86.238.0/24 | 109.86.240.0/24,187.16.217.59,IGP,23106,187.16.217.59
1645704060,2022-02-24T12:01:00,invasion_start_2022,Kharkiv,AS13188,23106 → 52320 → 1299 → 174 → 13188,5,,neutral,109.86.238.0/24 | 37.57.60.0/24,187.16.217.110,IGP,23106,187.16.217.110
1645704060,2022-02-24T12:01:00,invasion_start_2022,Kharkiv,AS13188,23106 → 52320 → 4230 → 174 → 13188,5,,neutral,109.86.240.0/24 | 109.86.241.0/24,187.16.217.110,IGP,23106,187.16.217.110
1645704060,2022-02-24T12:01:00,invasion_start_2022,Kharkiv,AS13188,23106 → 3356 → 174 → 13188,4,,neutral,109.86.240.0/24 | 109.86.241.0/24 | 109.86.238.0/24 | 37.57.60.0/24,187.16.217.110,IGP,23106,187.16.217.110
1645704060,2022-02-24T12:01:00,invasion_start_2022,Kharkiv,AS13188,267613 → 3356 → 174 → 13188,4,,neutral,109.86.238.0/24 | 109.86.240.0/24 | 109.86.241.0/24 | 37.57.60.0/24,187.16.220.80,IGP,267613,187.16.220.80
1645704060,2022-02-24T12:01:00,invasion_start_2022,Kharkiv,AS13188,61595 → 53013 → 6762 → 174 → 13188,5,,neutral,109.86.241.0/24 | 37.57.60.0/24 | 109.86.238.0/24 | 109.86.240.0/24,187.16.210.50,IGP,61595,187.16.210.50
1645704061,2022-02-24T12:01:01,invasion_start_2022,Kharkiv,AS13188,52873 → 12956 → 174 → 13188,4,,neutral,109.86.241.0/24 | 109.86.240.0/24 | 37.57.60.0/24 | 109.86.238.0/24,187.16.220.216,IGP,52873,187.16.220.216
1645704062,2022-02-24T12:01:02,invasion_start_2022,Kharkiv,AS13188,263237 → 6939 → 13188,3,,neutral,109.86.238.0/24 | 37.57.60.0/24 | 109.86.241.0/24 | 37.57.4.0/24 | 109.86.232.0/24,187.16.222.45,IGP,263237,187.16.222.45
1645704070,2022-02-24T12:01:10,invasion_start_2022,Kharkiv,AS13188,264479 → 3356 → 174 → 13188,4,,neutral,37.57.4.0/24 | 37.57.60.0/24 | 37.57.61.0/24 | 109.86.238.0/24 | 109.86.240.0/24 | 178.150.110.0/24,187.16.222.156,IGP,264479,187.16.222.156
1645704070,2022-02-24T12:01:10,invasion_start_2022,Kharkiv,AS13188,264479 → 61568 → 13188,3,,neutral,159.224.75.0/24,187.16.222.156,IGP,264479,187.16.222.156
1645704072,2022-02-24T12:01:12,invasion_start_2022,Kharkiv,AS13188,42473 → 2914 → 174 → 13188,4,,neutral,37.57.60.0/24 | 109.86.240.0/24 | 109.86.241.0/24 | 109.86.238.0/24,187.16.216.121,IGP,42473,187.16.216.121
1645704073,2022-02-24T12:01:13,invasion_start_2022,Kharkiv,AS13188,57695 → 60068 → 6762 → 174 → 13188,5,,neutral,178.150.110.0/24 | 159.224.75.0/24,187.16.220.159,IGP,57695,187.16.220.159
1645704081,2022-02-24T12:01:21,invasion_start_2022,Kharkiv,AS13188,263152 → 28329 → 3356 → 174 → 13188,5,,neutral,37.57.119.0/24 | 178.150.111.0/24 | 109.86.232.0/24 | 109.86.243.0/24 | 159.224.78.0/24 | 109.86.233.0/24 | 109.86.234.0/24 | 37.57.118.0/24 | 109.86.242.0/24 | 109.86.237.0/24 | 109.86.235.0/24,187.16.222.107,IGP,263152,187.16.222.107
1645704081,2022-02-24T12:01:21,invasion_start_2022,Kharkiv,AS13188,263152 → 28329 → 3356 → 174 → 13188,5,,neutral,109.86.238.0/24 | 109.86.240.0/24 | 37.57.60.0/24 | 178.150.110.0/24 | 159.224.75.0/24 | 109.86.241.0/24 | 37.57.61.0/24,187.16.222.107,IGP,263152,187.16.222.107
1645704082,2022-02-24T12:01:22,invasion_start_2022,Kharkiv,AS13188,16735 → 3356 → 174 → 13188,4,,neutral,178.150.110.0/24 | 159.224.75.0/24,187.16.217.48,IGP,16735,187.16.217.48
1645704084,2022-02-24T12:01:24,invasion_start_2022,Kharkiv,AS13188,22548 → 3549 → 3356 → 174 → 13188,5,,neutral,178.150.110.0/24 | 159.224.75.0/24,187.16.217.17,IGP,22548,187.16.217.17
1645704087,2022-02-24T12:01:27,invasion_start_2022,Kharkiv,AS13188,24482 → 174 → 13188,3,,neutral,109.86.238.0/24 | 109.86.241.0/24 | 37.57.60.0/24 | 109.86.240.0/24,187.16.208.144,IGP,24482,187.16.208.144
1645704088,2022-02-24T12:01:28,invasion_start_2022,Kharkiv,AS13188,52873 → 12956 → 174 → 13188,4,,neutral,109.86.241.0/24 | 109.86.240.0/24 | 37.57.60.0/24 | 109.86.238.0/24,187.16.220.216,IGP,52873,187.16.220.216
1645704089,2022-02-24T12:01:29,invasion_start_2022,Kharkiv,AS13188,53070 → 2914 → 174 → 13188,4,,neutral,37.57.60.0/24 | 109.86.238.0/24 | 109.86.240.0/24 | 109.86.241.0/24,187.16.216.102,IGP,53070,187.16.216.102
1645704089,2022-02-24T12:01:29,invasion_start_2022,Kharkiv,AS13188,53070 → 2914 → 174 → 13188,4,,neutral,109.86.237.0/24 | 109.86.239.0/24 | 109.86.242.0/24 | 109.86.243.0/24 | 159.224.78.0/24 | 37.57.5.0/24 | 109.86.233.0/24 | 109.86.234.0/24 | 109.86.235.0/24 | 178.150.111.0/24 | 37.57.118.0/24 | 37.57.119.0/24 | 109.86.232.0/24,187.16.216.102,IGP,53070,187.16.216.102
1645704090,2022-02-24T12:01:30,invasion_start_2022,Kharkiv,AS13188,23106 → 174 → 13188,3,,neutral,37.57.60.0/24 | 109.86.240.0/24 | 109.86.238.0/24 | 109.86.241.0/24,187.16.217.59,IGP,23106,187.16.217.59
1645704090,2022-02-24T12:01:30,invasion_start_2022,Kharkiv,AS13188,23106 → 174 → 13188,3,,neutral,109.86.241.0/24 | 109.86.240.0/24 | 37.57.60.0/24 | 109.86.238.0/24,187.16.217.110,IGP,23106,187.16.217.110
1645704090,2022-02-24T12:01:30,invasion_start_2022,Kharkiv,AS13188,267613 → 174 → 13188,3,,neutral,37.57.60.0/24 | 109.86.241.0/24 | 109.86.240.0/24 | 109.86.238.0/24,187.16.220.80,IGP,267613,187.16.220.80
1645704090,2022-02-24T12:01:30,invasion_start_2022,Kharkiv,AS13188,61595 → 174 → 13188,3,,neutral,109.86.241.0/24 | 109.86.240.0/24 | 109.86.238.0/24 | 37.57.60.0/24,187.16.210.50,IGP,61595,187.16.210.50
1645704091,2022-02-24T12:01:31,invasion_start_2022,Kharkiv,AS13188,24482 → 174 → 13188,3,,neutral,37.57.61.0/24 | 178.150.110.0/24 | 37.57.60.0/24 | 159.224.75.0/24,187.16.208.144,IGP,24482,187.16.208.144
