total_packets,duration_s,total_bytes,fwd_bytes,bwd_bytes,fwd_packets,bwd_packets,pkt_size_mean,pkt_size_median,pkt_size_std,pkt_size_max,pkt_size_p95,fwd_pkt_size_mean,bwd_pkt_size_mean,iat_mean,iat_median,iat_std,iat_p95,iat_cv,fwd_iat_mean,bwd_iat_mean,bwd_iat_std,bwd_iat_cv,tcp_ratio,udp_ratio,rtp_ratio,tls_ratio,unique_dst_ips,num_flows,mean_bitrate_bps,bitrate_cv,max_bitrate_bps,byte_asymmetry,fwd_bwd_pkt_ratio,fwd_byte_fraction,pps,filename,category,subcategory,app,is_genai,label
2566,241.4696979522705,1167219,822557,344662,1377,1189,454.8787996882307,101.0,551.019875395919,1514.0,1454.0,597.3543936092956,289.87552565180823,0.09414023311979357,0.0023000240325927734,0.611595404444202,0.24449729919433588,6.496642128195562,0.17548669909321984,0.2031570371955332,0.9045188617772197,4.452313708959265,0.9672642244738893,0.03273577552611068,0.0,0.9672642244738893,11,96,38585.7520661157,1.6049878582223704,295712.0,0.4190129073121984,1.1581160639192598,0.7047152248207064,10.62659216357326,chatgpt_2026_02_25_22_46_2026_02_25_22_51.pcapng,genai,audio,chatgpt,1,GenAI
5942,435.914635181427,2553743,1004071,1549672,2839,3103,429.7783574554022,105.0,511.4816557773076,1304.0,1304.0,353.6706586826347,499.4108926844989,0.07337394970231055,0.0014300346374511719,0.45590886252243595,0.2078690528869629,6.213497629228475,0.15359923720275792,0.14047998455091879,0.6425403942863306,4.573892831355157,0.8466846179737462,0.15264220801077077,0.0,0.8466846179737462,31,300,46857.66972477064,4.547123521203891,3372072.0,1.543388863934921,0.9149210441508218,0.39317621232833533,13.631109213681134,chatgpt_2026_02_19_17_06_2026_02_19_17_14.pcapng,genai,audio,chatgpt,1,GenAI
10000,347.9883551597595,5938143,1194565,4743578,4312,5688,593.8143,167.5,580.0953840667154,1304.0,1304.0,277.0326994434137,833.9623769338959,0.03480231574755071,7.891654968261719e-05,0.2405616353544972,0.1119346380233767,6.912230700378818,0.08068602811264289,0.06106784386900621,0.32948002208890614,5.39531120168019,0.7732,0.2268,0.0,0.7732,40,286,136509.0344827586,5.4085540455829335,8805728.0,3.9709668373006073,0.7580872011251758,0.20116810928938558,28.73659377311363,chatgpt_2026_02_19_17_14_2026_02_19_17_21.pcapng,genai,audio,chatgpt,1,GenAI
10000,11.06162714958191,11323232,7712956,3610276,5972,4028,1132.3232,1292.0,407.91046436903287,1304.0,1292.0,1291.5197588747487,896.2949354518371,0.0011062733422924202,3.981590270996094e-05,0.013573826661669433,0.0031568527221679833,12.26986689703807,0.0009423738108110915,0.00273969311379072,0.022152688491570982,8.085828438251564,0.0202,0.9798,0.0,0.0202,1,54,7548821.333333333,0.7250700991680046,15326104.0,0.4680794237643778,1.4826216484607746,0.6811620569109597,904.0261314880754,chatgpt_2026_02_19_17_30_2026_02_19_17_37.pcapng,genai,audio,chatgpt,1,GenAI
1630,173.09444093704224,370951,184878,186073,829,801,227.57730061349693,97.0,324.13408548671396,1304.0,1304.0,223.01326899879373,232.30087390761548,0.10625809756724508,0.015363931655883789,0.4423142558407228,0.23758502006530763,4.162640457220737,0.20905125717034087,0.21630988776683807,0.6280268445734196,2.903366328081933,0.9828220858895705,0.01717791411042945,0.0,0.9803680981595092,13,76,17055.2183908046,1.6042124860473788,161776.0,1.0064637220220902,1.034956304619226,0.4983892751333734,9.41682466043414,chatgpt_2026_02_16_11_34_2026_02_16_11_37.pcapng,genai,text,chatgpt,1,GenAI
6481,383.50549817085266,2279230,1246325,1032905,3243,3238,351.678753278815,97.0,467.88193675037536,1514.0,1454.0,384.31236509404874,318.99474984558367,0.05918294724858837,0.0016329288482666016,0.3650158797988581,0.21354243755340535,6.167585373294576,0.1182922088092378,0.11845991417770221,0.5555567557590038,4.689829125873,0.9449159080388829,0.05508409196111711,0.0,0.9442987193334362,19,308,47483.958333333336,2.7747708375168663,1406152.0,0.8287605560347422,1.0015441630636195,0.5468184430706862,16.89936658251689,chatgpt_2026_02_25_22_31_2026_02_25_22_37.pcapng,genai,text,chatgpt,1,GenAI
9974,263.0529580116272,7930796,983444,6947352,769,9205,795.1469821535993,1292.0,590.6382237732413,1514.0,1454.0,1278.8608582574773,754.736773492667,0.026376512384601144,0.0001270771026611328,0.20928007841578877,0.09636673927307127,7.934334735549362,0.003324488177895546,0.028580286615778706,0.2177034776031238,7.617260125128812,0.39322237818327654,0.6050731902947664,0.0,0.3928213354722278,1,251,240327.15151515152,5.513050072012386,13302608.0,7.064308694750285,0.0835415535035307,0.1240031895915618,37.916319494719914,chatgpt_2026_02_25_22_23_2026_02_25_22_29.pcapng,genai,text,chatgpt,1,GenAI
10000,62.46206617355347,8427050,6902106,1524944,5294,4706,842.705,1304.0,587.5475395021241,1304.0,1304.0,1303.7601057801285,324.04249893752655,0.006246831300485395,4.482269287109375e-05,0.06717666163509556,0.008564090728759766,10.75371790973061,0.01180026352394287,0.013275678251552278,0.09755332780732837,7.348274488041453,0.8965,0.1035,0.0,0.8965,1,144,1070101.5873015872,2.6086536361050623,11591224.0,0.22093894240395612,1.1249468763280919,0.8190417761850233,160.09716957192197,chatgpt_2026_02_16_11_19_2026_02_16_11_23.pcapng,genai,text,chatgpt,1,GenAI
10000,64.86078190803528,8942350,8642532,299818,6633,3367,894.235,1304.0,578.641119844589,1304.0,1304.0,1302.9597467209408,89.04603504603504,0.006486726863489877,5.698204040527344e-05,0.038110439764717376,0.022424983978271487,5.8751417420116026,0.00977626087006959,0.01926939450624934,0.06513414716285272,3.380186499463114,0.9984,0.0016,0.0,0.9981,1,37,1100596.923076923,1.1656040351586379,4115184.0,0.034690991019761336,1.97000297000297,0.966472124217907,154.17637138847303,chatgpt_2026_02_16_11_25_2026_02_16_11_30.pcapng,genai,text,chatgpt,1,GenAI
8854,339.54132413864136,5665338,5300578,364760,7140,1714,639.8619832843913,460.0,526.7843316048301,1292.0,1292.0,742.3778711484593,212.81213535589265,0.03835325021333349,0.0001220703125,0.5893363402345201,0.06556129455566406,15.36600775570352,0.047552655300584425,0.19818396214776338,1.3345142566500274,6.733714687039262,0.0,1.0,0.0,0.0,1,2,133302.0705882353,1.725265335924534,963864.0,0.06881513676433022,4.165694282380397,0.9356154919618211,26.076354689553895,gemini_2026_02_19_17_55_2026_02_19_18_01.pcapng,genai,audio,gemini,1,GenAI
